fighter,D,L,NC,W,total
isaac dulgarian,0,1,0,1,2
isaac dulgarian ,0,0,0,1,1
isaac vallie-flagg,0,2,0,1,3
isaac vallie-flagg ,0,1,0,0,1
isabela de padua,0,1,0,0,1
islam makhachev,0,1,0,4,5
islam makhachev ,0,0,0,10,10
ismael bonfim ,0,1,0,2,3
ismail naurdiev,0,1,0,2,3
ismail naurdiev ,0,1,0,0,1
israel adesanya,0,2,0,6,8
israel adesanya ,0,2,0,7,9
issei tamura,0,2,0,1,3
istela nunes,0,2,0,0,2
istela nunes ,0,2,0,0,2
iuri alcantara,0,3,0,2,5
iuri alcantara ,0,4,1,8,13
ivan erslan,0,1,0,0,1
ivan jorge,0,2,0,1,3
ivan jorge ,0,0,0,1,1
ivan menjivar,0,3,0,0,3
ivan menjivar ,0,2,0,4,6
ivan salaverry,0,4,0,0,4
ivan salaverry ,0,0,0,3,3
ivan serati,0,1,0,0,1
ivana petrovic,0,1,0,0,1
ivana petrovic ,0,1,0,1,2
izabela badurek ,0,1,0,0,1
jacare souza,0,2,0,2,4
jacare souza ,0,5,0,7,12
jack della maddalena,0,0,0,2,2
jack della maddalena ,0,0,0,5,5
jack hermansson,0,2,0,6,8
jack hermansson ,0,4,0,5,9
jack jenkins,0,0,0,1,1
jack jenkins ,0,1,0,2,3
jack marshman,0,4,0,1,5
jack marshman ,0,1,0,2,3
jack may,0,2,0,0,2
jack mcglaughlin,0,1,0,0,1
jack nilson,0,1,0,0,1
jack nilson ,0,0,0,1,1
jack shore,0,1,0,1,2
jack shore ,0,2,0,5,7
jackie lee,0,1,0,0,1
jacob kilburn,0,1,0,0,1
jacob kilburn ,0,1,0,0,1
jacob malkoun,0,1,0,4,5
jacob malkoun ,0,2,0,0,2
jacob volkmann,0,2,0,1,3
jacob volkmann ,0,2,0,5,7
jacqueline cavalcanti,0,0,0,2,2
jacqueline cavalcanti ,0,0,0,1,1
jafel filho,0,1,0,0,1
jafel filho ,0,0,0,2,2
jai herbert,0,2,0,1,3
jai herbert ,1,2,0,2,5
jailton almeida,0,1,0,2,3
jailton almeida ,0,0,0,5,5
jairzinho rozenstruik,0,3,0,6,9
jairzinho rozenstruik ,0,2,0,3,5
jake collier,0,8,0,2,10
jake collier ,0,1,0,3,4
jake ellenberger,0,4,0,4,8
jake ellenberger ,0,7,0,6,13
jake hadley,0,2,0,1,3
jake hadley ,0,2,0,2,4
jake hecht,0,1,0,1,2
jake hecht ,0,1,0,0,1
jake lindsey,0,2,0,0,2
jake lindsey ,0,1,0,0,1
jake matthews,0,2,0,4,6
jake matthews ,0,5,0,9,14
jake o'brien,0,3,0,0,3
jake o'brien ,0,0,0,4,4
jake rosholt,0,2,0,0,2
jake rosholt ,0,0,0,1,1
jake shields,0,1,0,2,3
jake shields ,0,2,1,2,5
jalin turner,0,2,0,4,6
jalin turner ,0,3,0,3,6
jamahal hill,0,2,0,5,7
jamahal hill ,0,0,1,1,2
jamal pogues,0,1,0,2,3
jamall emmers,0,2,0,1,3
jamall emmers ,0,2,0,2,4
james bochnovic,0,2,0,0,2
james giboo,0,1,0,0,1
james hammortree,0,1,0,0,1
james head,0,2,0,2,4
james head ,0,1,0,0,1
james irvin,0,5,0,0,5
james irvin ,0,1,0,4,5
james krause,0,3,0,5,8
james krause ,0,1,0,4,5
james lee,0,1,0,0,1
james llontop,0,2,0,0,2
james llontop ,0,1,0,0,1
james mcsweeney ,0,2,0,1,3
james moontasri,0,3,0,0,3
james moontasri ,0,1,0,2,3
james mulheron ,0,1,0,0,1
james te huna,0,3,0,0,3
james te huna ,0,2,0,5,7
james toney,0,1,0,0,1
james vick,0,3,0,4,7
james vick ,0,2,0,5,7
james wilks,0,1,0,0,1
james wilks ,0,1,0,2,3
james zikic,0,1,0,0,1
jamey simmons,0,2,0,0,2
jamey-lyn horth,0,2,0,1,3
jamey-lyn horth ,0,0,0,1,1
jamie moyle,0,1,0,1,2
jamie moyle ,0,1,0,0,1
jamie mullarkey,0,4,0,2,6
jamie mullarkey ,0,2,0,3,5
jamie pickett,0,7,0,0,7
jamie pickett ,0,0,0,2,2
jamie varner,0,2,0,2,4
jamie varner ,0,4,0,1,5
jamie yager ,0,1,0,0,1
jan blachowicz,0,3,0,6,9
jan blachowicz ,1,4,0,6,11
jaqueline amorim ,0,1,0,3,4
jared cannonier,0,4,0,4,8
jared cannonier ,0,4,0,6,10
jared gooden,0,4,0,2,6
jared gooden ,0,1,0,0,1
jared gordon,0,3,1,3,7
jared gordon ,0,3,0,5,8
jared hamman,0,1,0,2,3
jared hamman ,0,4,0,0,4
jared papazian,0,2,0,0,2
jared papazian ,0,1,0,0,1
jared rollins,0,1,0,0,1
jared rosholt,0,1,0,2,3
jared rosholt ,0,1,0,4,5
jared vanderaa,0,5,0,1,6
jared vanderaa ,0,1,0,0,1
jarjis danho,0,1,0,1,2
jarjis danho ,1,0,0,0,1
jarno errens,0,2,0,0,2
jarno errens ,0,0,0,1,1
jarred brooks,0,1,0,2,3
jarred brooks ,0,1,0,0,1
jasmine jasudavicius,0,1,0,3,4
jasmine jasudavicius ,0,1,0,3,4
jason black,0,2,0,0,2
jason brilz,0,3,0,1,4
jason brilz ,0,1,0,2,3
jason day,0,2,0,0,2
jason day ,0,0,0,1,1
jason delucia,0,2,0,0,2
jason delucia ,0,0,0,1,1
jason dent,0,3,0,0,3
jason dent ,0,0,0,1,1
jason fairn,0,1,0,0,1
jason gilliam,0,2,0,0,2
jason godsey,0,2,0,0,2
jason gonzalez,0,3,0,0,3
jason gonzalez ,0,0,0,1,1
jason high,0,3,0,1,4
jason high ,0,0,0,1,1
jason knight,0,2,0,4,6
jason knight ,0,3,0,0,3
jason lambert,0,4,0,0,4
jason lambert ,0,0,0,4,4
jason macdonald,0,6,0,0,6
jason macdonald ,0,2,0,6,8
jason miller,0,2,0,0,2
jason miller ,0,1,0,0,1
jason novelli,0,2,0,0,2
jason reinhardt,0,3,0,0,3
jason saggo ,0,3,0,3,6
jason tan,0,2,0,0,2
jason thacker,0,1,0,0,1
jason von flue,0,2,0,0,2
jason von flue ,0,0,0,1,1
jason witt,0,2,0,2,4
jason witt ,0,2,0,0,2
jason young,0,2,0,0,2
jason young ,0,1,0,1,2
javid basharat,0,1,0,2,3
javid basharat ,0,0,0,1,1
javier vazquez,0,0,0,1,1
jay cucciniello ,0,1,0,0,1
jay hieron,0,4,0,0,4
jay perrin,0,3,0,0,3
jay silva,0,2,0,0,2
jc cottrell,0,2,0,0,2
jean matsumoto,0,0,0,2,2
jean silva,0,0,0,3,3
jeff cox,0,2,0,0,2
jeff curran,0,2,0,0,2
jeff curran ,0,1,0,0,1
jeff hougland,0,2,0,0,2
jeff hougland ,0,0,0,1,1
jeff hughes,0,3,1,0,4
jeff joslin,0,1,0,0,1
jeff molina,0,0,0,1,1
jeff molina ,0,0,0,2,2
jeff monson,0,3,0,0,3
jeff monson ,0,0,0,4,4
jeff newton,0,1,0,0,1
jeka saragih ,0,2,0,1,3
jenel lausa,0,0,0,1,1
jenel lausa ,0,3,0,0,3
jennifer maia,0,4,0,3,7
jennifer maia ,0,2,0,3,5
jens pulver,0,2,0,0,2
jens pulver ,1,0,0,6,7
jeongyeong lee ,0,1,0,2,3
jeremiah wells,0,1,0,2,3
jeremiah wells ,0,1,0,2,3
jeremy horn,0,7,0,0,7
jeremy horn ,0,0,0,6,6
jeremy jackson,0,2,0,0,2
jeremy kennedy,0,1,0,2,3
jeremy kennedy ,0,0,0,1,1
jeremy kimball,0,1,0,1,2
jeremy kimball ,0,2,0,0,2
jeremy larsen,0,2,0,0,2
jeremy larsen ,0,1,0,0,1
jeremy stephens,0,13,1,7,21
jeremy stephens ,0,5,0,8,13
jermaine andre,0,1,0,0,1
jerome rivera,0,4,0,0,4
jerrod sanders,0,2,1,1,4
jerry bohlander,0,2,0,0,2
jerry bohlander ,0,0,0,5,5
jess liaudin,0,3,0,0,3
jess liaudin ,0,0,0,2,2
jessamyn duke ,0,3,0,1,4
jesse bongfeldt ,1,1,0,0,2
jesse butler,0,2,0,0,2
jesse forbes,0,2,0,0,2
jesse forbes ,0,1,0,0,1
jesse lennox,0,2,0,0,2
jesse lennox ,0,0,0,1,1
jesse ronson,0,4,1,0,5
jesse ronson ,0,1,0,0,1
jesse sanders,0,1,0,0,1
jesse strader,0,2,0,0,2
jesse taylor,0,1,0,1,2
jessica aguilar,0,3,0,0,3
jessica aguilar ,0,1,0,1,2
jessica andrade,0,3,0,8,11
jessica andrade ,0,8,0,9,17
jessica eye,0,5,1,3,9
jessica eye ,0,5,0,2,7
jessica penne,0,1,0,1,2
jessica penne ,0,5,0,2,7
jessica rakoczy,0,1,0,0,1
jessica rakoczy ,0,1,0,0,1
jessica-rose clark,0,0,0,2,2
jessica-rose clark ,0,5,0,2,7
jessin ayari,0,3,0,0,3
jessin ayari ,0,0,0,1,1
jesus aguilar,0,1,0,2,3
jesus aguilar ,0,0,0,1,1
jesus pinedo,0,1,0,1,2
jhonata diniz,0,1,0,1,2
jhonata diniz ,0,0,0,1,1
ji yeon kim,0,2,0,2,4
ji yeon kim ,0,5,0,1,6
jianping yang,0,1,0,0,1
jim alers,0,1,1,1,3
jim alers ,0,1,0,0,1
jim miller,0,8,0,2,10
jim miller ,0,9,1,25,35
jim mullen,0,1,0,0,1
jim wallhead,0,2,0,0,2
jimi manuwa,0,2,0,2,4
jimi manuwa ,0,4,0,4,8
jimmie rivera,0,1,0,4,5
jimmie rivera ,0,3,0,3,6
jimmy crute,0,2,0,0,2
jimmy crute ,1,2,0,4,7
jimmy flick,0,1,0,1,2
jimmy flick ,0,2,0,1,3
jimmy quinlan,0,1,0,0,1
jimy hettes,0,2,0,1,3
jimy hettes ,0,1,0,2,3
jin soo son,0,2,0,0,2
jinh yu frey,0,5,0,1,6
jinh yu frey ,0,0,0,1,1
jiri prochazka,0,1,0,3,4
jiri prochazka ,0,1,0,1,2
jj aldrich,0,5,0,4,9
jj aldrich ,0,1,0,4,5
joachim christensen,0,1,0,1,2
joachim christensen ,0,2,0,0,2
joanderson brito,0,2,0,3,5
joanderson brito ,0,0,0,2,2
joanna jedrzejczyk,0,4,0,3,7
joanna jedrzejczyk ,0,1,0,7,8
joanne wood,0,3,0,2,5
joanne wood ,0,5,0,7,12
joao pierini,0,1,0,0,1
joao roque,0,1,0,0,1
joao zeferino,0,1,0,0,1
joao zeferino ,0,1,0,0,1
joaquim silva,0,2,0,3,5
joaquim silva ,0,3,0,3,6
joaquin buckley,0,3,0,6,9
joaquin buckley ,0,1,0,5,6
joby sanchez,0,3,0,1,4
joby sanchez ,0,1,0,0,1
jocelyn jones-lybarger,0,2,0,0,2
jocelyn jones-lybarger ,0,1,0,0,1
jodie esquibel,0,4,0,0,4
joe brammer,0,2,0,0,2
joe charles,0,2,0,0,2
joe charles ,0,0,0,2,2
joe doerksen,0,6,0,1,7
joe doerksen ,0,1,0,1,2
joe duffy,0,3,0,1,4
joe duffy ,0,1,0,3,4
joe ellenberger ,0,1,0,1,2
joe giannetti,0,1,0,0,1
joe jordan,0,1,0,0,1
joe lauzon,0,5,0,2,7
joe lauzon ,0,7,0,13,20
joe merritt,0,1,0,0,1
joe moreira,0,1,0,0,1
joe moreira ,0,0,0,1,1
joe pardo,0,1,0,0,1
joe proctor,0,2,0,2,4
joe proctor ,0,2,0,2,4
joe pyfer,0,1,0,1,2
joe pyfer ,0,0,0,3,3
joe riggs,0,6,0,0,6
joe riggs ,0,1,0,5,6
joe slick,0,1,0,0,1
joe slick ,0,0,0,1,1
joe solecki,0,2,0,2,4
joe solecki ,0,1,0,3,4
joe son,0,1,0,0,1
joe soto,0,2,0,3,5
joe soto ,0,3,0,0,3
joe stevenson,0,5,0,0,5
joe stevenson ,0,3,0,8,11
joe vedepo,0,2,0,0,2
joe veres,0,2,0,0,2
joel alvarez,0,2,0,3,5
joel alvarez ,0,0,0,4,4
joel sutton ,0,0,0,2,2
joey beltran,0,4,1,0,5
joey beltran ,0,2,0,3,5
joey gambino,0,2,0,0,2
joey gilbert,0,1,0,0,1
joey gomez,0,2,0,0,2
joey roberts,0,1,0,0,1
john albert,0,2,0,1,3
john albert ,0,2,0,0,2
john alessio,0,4,0,0,4
john alessio ,0,1,0,0,1
john allan,0,2,1,0,3
john campetella,0,1,0,0,1
john castaneda,0,1,0,2,3
john castaneda ,0,2,0,2,4
john cholish,0,2,0,1,3
john cofer,0,2,0,0,2
john dodson,0,4,0,1,5
john dodson ,0,3,0,9,12
john dowdy,0,1,0,0,1
john gunderson,0,2,0,0,2
john gunderson ,0,0,0,1,1
john gunther,0,1,0,0,1
john gunther ,0,0,0,1,1
john halverson,0,2,0,0,2
john hathaway,0,1,0,1,2
john hathaway ,0,1,0,6,7
john howard,0,3,0,2,5
john howard ,0,4,0,5,9
john kolosci,0,1,0,0,1
john lewis,0,1,0,0,1
john lewis ,0,0,0,1,1
john lineker,0,2,0,5,7
john lineker ,0,2,0,7,9
john lober,0,1,0,0,1
john maguire,0,3,0,1,4
john maguire ,0,0,0,1,1
john makdessi,0,3,0,2,5
john makdessi ,0,6,0,9,15
john marsh,0,1,0,0,1
john matua,0,1,0,0,1
john moraga,0,3,0,2,5
john moraga ,0,3,0,6,9
john phillips,0,3,0,1,4
john phillips ,0,2,0,0,2
john polakowski,0,1,0,0,1
john salter,0,2,0,1,3
john teixeira ,0,1,0,0,1
johnny bedford,0,2,1,1,4
johnny bedford ,0,1,0,1,2
johnny case,0,2,0,3,5
johnny case ,0,0,0,1,1
johnny eduardo,0,3,0,2,5
johnny eduardo ,0,2,0,1,3
johnny munoz,0,2,0,1,3
johnny munoz ,0,2,0,1,3
johnny rees,0,2,0,0,2
johnny rhodes,0,1,0,0,1
johnny rhodes ,0,0,0,2,2
johnny walker,0,3,0,4,7
johnny walker ,0,3,0,3,6
johny hendricks,0,2,0,4,6
johny hendricks ,0,6,0,9,15
jon delos reyes,0,3,0,1,4
jon fitch,1,1,0,1,3
jon fitch ,0,2,0,13,15
jon hess ,0,0,0,1,1
jon jones,0,1,1,2,4
jon jones ,0,0,0,20,20
jon madsen ,0,1,0,4,5
jon manley ,0,1,0,0,1
jon olav einemo,0,2,0,0,2
jon tuck,0,3,0,3,6
jon tuck ,0,2,0,1,3
jonathan brookins,0,1,0,0,1
jonathan brookins ,0,2,0,2,4
jonathan goulet,0,5,0,0,5
jonathan goulet ,0,0,0,4,4
jonathan martinez,0,3,0,7,10
jonathan martinez ,0,2,0,3,5
jonathan meunier,0,1,0,1,2
jonathan pearce,0,1,0,2,3
jonathan pearce ,0,3,0,3,6
jonathan wiezorek ,0,0,0,1,1
jonathan wilson,0,1,0,1,2
jonathan wilson ,0,2,0,0,2
jonavin webb,0,1,0,0,1
jonavin webb ,0,1,0,0,1
jonny parsons,0,0,0,1,1
jordan espinosa,0,1,0,1,2
jordan espinosa ,0,3,0,1,4
jordan griffin,0,3,0,0,3
jordan griffin ,0,1,0,1,2
jordan johnson,0,0,0,2,2
jordan johnson ,0,0,0,2,2
jordan leavitt,0,3,0,1,4
jordan leavitt ,0,0,0,3,3
jordan mein,0,1,0,2,3
jordan mein ,0,3,0,3,6
jordan radev,0,2,0,0,2
jordan rinaldi,0,2,0,2,4
jordan rinaldi ,0,1,0,0,1
jordan vucenic,0,1,0,0,1
jordan williams,0,2,0,0,2
jordan williams ,0,1,0,0,1
jordan wright,0,1,0,1,2
jordan wright ,0,4,0,1,5
jorge de oliveira,0,1,0,0,1
jorge de oliveira ,0,1,0,0,1
jorge gurgel,0,4,0,0,4
jorge gurgel ,0,0,0,3,3
jorge lopez,0,2,0,0,2
jorge masvidal,0,7,0,7,14
jorge masvidal ,0,3,0,5,8
jorge patino,0,1,0,0,1
jorge rivera,0,6,0,1,7
jorge rivera ,0,1,0,7,8
jorge santiago,0,5,0,0,5
jorge santiago ,0,0,0,1,1
jose aldo,0,3,0,1,4
jose aldo ,0,5,0,13,18
jose daniel medina,0,1,0,0,1
jose johnson,0,2,0,1,3
jose maria,0,1,0,0,1
jose maria ,0,1,0,0,1
jose ochoa,0,1,0,0,1
jose quinonez,0,4,0,1,5
jose quinonez ,0,0,0,4,4
jose torres,0,1,0,1,2
josefine knutsson ,0,1,0,2,3
joselyne edwards,0,4,0,2,6
joselyne edwards ,0,0,0,3,3
joseph benavidez,0,2,0,1,3
joseph benavidez ,0,4,0,14,18
joseph gigliotti,0,1,0,0,1
joseph gigliotti ,0,1,0,0,1
joseph holmes,0,1,0,0,1
joseph holmes ,0,2,0,1,3
joseph morales,0,1,0,0,1
joseph morales ,0,1,0,1,2
joseph sandoval,0,1,0,0,1
joseph sandoval ,0,1,0,0,1
josh barnett,0,1,0,2,3
josh barnett ,0,2,0,5,7
josh bryant ,0,1,0,0,1
josh clopton,0,2,0,0,2
josh copeland,0,2,0,0,2
josh culibao,1,2,0,1,4
josh culibao ,0,2,0,2,4
josh emmett,0,1,0,4,5
josh emmett ,0,3,0,6,9
josh ferguson,0,2,0,0,2
josh fremd,0,2,0,1,3
josh fremd ,0,2,0,1,3
josh grispi,0,2,0,0,2
josh grispi ,0,2,0,0,2
josh haynes,0,3,0,0,3
josh hendricks,0,1,0,0,1
josh koscheck,0,7,0,1,8
josh koscheck ,0,3,0,14,17
josh neer,0,8,0,1,9
josh neer ,0,1,0,5,6
josh parisian,0,2,0,0,2
josh parisian ,0,3,0,2,5
josh quinlan,0,0,0,1,1
josh quinlan ,0,3,0,0,3
josh rafferty,0,1,0,0,1
josh samman,0,1,0,1,2
josh samman ,0,1,0,2,3
josh sampo,0,3,0,0,3
josh sampo ,0,0,0,1,1
josh shockley,0,2,0,0,2
josh shockman,0,1,0,0,1
josh stansbury,0,0,0,1,1
josh stansbury ,0,2,0,0,2
josh stuart,0,1,0,0,1
josh thomson,0,2,0,1,3
josh thomson ,0,2,0,2,4
joshua burkman,0,8,1,0,9
joshua burkman ,0,4,0,6,10
joshua van,0,0,0,3,3
joshua van ,0,1,0,2,3
joshua weems,0,1,0,0,1
josiane nunes,0,1,0,1,2
josiane nunes ,0,1,0,2,3
journey newson,0,2,1,0,3
journey newson ,0,2,0,1,3
jp buys,0,2,0,0,2
jp buys ,0,2,0,0,2
juan adams,0,2,0,1,3
juan adams ,0,1,0,0,1
juan espino,0,1,0,0,1
juan espino ,0,0,0,2,2
juan manuel puig,0,1,0,0,1
juan manuel puig ,0,1,0,0,1
juancamilo ronderos,0,2,0,0,2
jules bruchez,0,1,0,0,1
julia avila,0,1,0,0,1
julia avila ,0,1,0,3,4
julia polastri,0,1,0,0,1
julia polastri ,0,0,0,1,1
julian erosa,0,4,0,4,8
julian erosa ,0,3,0,4,7
julian marquez,0,1,0,2,3
julian marquez ,0,3,0,1,4
julian sanchez,0,1,0,0,1
juliana lima,0,3,0,0,3
juliana lima ,0,1,0,3,4
juliana miller,0,0,0,1,1
juliana miller ,0,2,0,0,2
julianna pena,0,2,0,4,6
julianna pena ,0,1,0,4,5
julie kedzie ,0,2,0,0,2
julija stoliarenko,0,4,0,2,6
julija stoliarenko ,0,2,0,0,2
julio arce,0,1,0,1,2
julio arce ,0,3,0,5,8
julio paulino,0,2,0,0,2
jumabieke tuerxun ,0,3,0,0,3
junie browning,0,1,0,0,1
junie browning ,0,0,0,1,1
junior albini,0,2,0,1,3
junior albini ,0,2,0,0,2
junior assuncao,0,3,0,0,3
junior assuncao ,0,0,0,2,2
junior dos santos,0,4,0,5,9
junior dos santos ,0,4,0,10,14
junior tafa,0,2,0,0,2
junior tafa ,0,1,0,1,2
junyong park,0,0,0,4,4
junyong park ,0,3,0,4,7
jussier formiga,0,2,0,1,3
jussier formiga ,0,5,0,8,13
justin buchholz,0,4,0,0,4
justin buchholz ,0,0,0,1,1
justin edwards,0,4,0,1,5
justin edwards ,0,1,0,1,2
justin eilers,0,3,0,0,3
justin eilers ,0,0,0,1,1
justin frazier,0,1,0,0,1
justin gaethje,0,4,0,5,9
justin gaethje ,0,1,0,3,4
justin james,0,1,0,0,1
justin jaynes,0,4,0,1,5
justin jones,0,2,0,0,2
justin lawrence ,0,2,0,1,3
justin ledet,0,3,0,1,4
justin ledet ,0,1,0,2,3
justin levens,0,2,0,0,2
justin martin ,0,0,0,1,1
justin mccully,0,2,0,0,2
justin mccully ,0,0,0,2,2
justin salas,0,3,0,2,5
justin salas ,0,1,0,1,2
justin scoggins,0,2,0,3,5
justin scoggins ,0,3,0,1,4
justin tafa,0,2,1,1,4
justin tafa ,0,2,0,3,5
justin willis,0,1,0,2,3
justin willis ,0,0,0,2,2
justin wren,0,1,0,0,1
justine kish,0,3,0,0,3
justine kish ,0,1,0,3,4
jutaro nakao,0,1,0,0,1
jutaro nakao ,0,0,0,1,1
kaan ofli ,0,1,0,0,1
kai asakura,0,1,0,0,1
kai kamaka,1,1,0,0,2
kai kamaka ,0,1,0,1,2
kai kara-france,0,2,0,3,5
kai kara-france ,0,2,0,5,7
kailin curran,0,3,0,0,3
kailin curran ,0,3,0,1,4
kajan johnson,0,1,0,3,4
kajan johnson ,0,2,0,1,3
kalib starnes,0,3,0,0,3
kalib starnes ,0,0,0,2,2
kalindra faria,0,2,0,0,2
kalindra faria ,0,1,0,0,1
kamal shalorus,0,2,0,0,2
kamal shalorus ,0,1,0,0,1
kamaru usman,0,1,0,4,5
kamaru usman ,0,1,0,11,12
kamuela kirk,0,1,0,1,2
kamuela kirk ,0,1,0,0,1
kanako murata,0,1,0,1,2
kanako murata ,0,1,0,0,1
karine gevorgyan ,0,1,0,0,1
karine silva,0,1,0,1,2
karine silva ,0,0,0,3,3
karl roberson,0,4,0,2,6
karl roberson ,0,2,0,2,4
karl williams,0,1,0,0,1
karl williams ,0,0,0,3,3
karlos vemola,0,3,0,2,5
karlos vemola ,0,1,0,0,1
karo parisyan,0,3,0,0,3
karo parisyan ,0,1,1,8,10
karol rosa,0,2,0,2,4
karol rosa ,0,1,0,5,6
karolina kowalkiewicz,0,3,0,3,6
karolina kowalkiewicz ,0,6,0,6,12
katlyn cerminara ,0,1,0,0,1
katlyn chookagian,0,2,0,2,4
katlyn chookagian ,0,3,0,9,12
katsuhisa fujii,0,1,0,0,1
katsuhisa fujii ,0,0,0,1,1
katsunori kikuno,0,2,0,0,2
katsunori kikuno ,0,1,0,2,3
kaue fernandes,0,0,0,1,1
kaue fernandes ,0,1,0,0,1
kay hansen,0,1,0,0,1
kay hansen ,0,2,0,1,3
kayla harrison,0,0,0,2,2
kaynan kruschewsky,0,2,0,0,2
kazuhiro nakamura,0,2,0,0,2
kazuki tokudome,0,1,0,1,2
kazuki tokudome ,0,2,0,0,2
kazula vargas,0,2,0,0,2
kazula vargas ,0,1,0,1,2
kazushi sakuraba ,0,0,1,1,2
kb bhullar,0,2,0,0,2
keigo kunihara,0,1,0,0,1
keiichiro yamamiya,0,1,0,0,1
keita nakamura,0,6,0,1,7
keita nakamura ,0,1,0,3,4
keith berish,0,0,1,0,1
keith berish ,0,1,0,0,1
keith hackney,0,2,0,0,2
keith hackney ,0,0,0,2,2
keith jardine,0,6,0,0,6
keith jardine ,0,1,0,6,7
keith mielke,0,1,0,0,1
keith rockel,0,1,0,0,1
keith rockel ,0,0,0,1,1
keith wisniewski,0,2,0,0,2
keith wisniewski ,0,2,0,0,2
kelly dullanty,0,1,0,0,1
kelly faszholz,0,1,0,0,1
kelly faszholz ,0,1,0,0,1
kelvin gastelum,0,7,1,7,15
kelvin gastelum ,0,2,0,6,8
ken shamrock,0,4,0,0,4
ken shamrock ,0,0,0,4,4
ken stone,0,1,0,0,1
ken stone ,0,1,0,2,3
kendall grove,0,3,0,0,3
kendall grove ,0,3,0,7,10
kenichi yamamoto,0,1,0,0,1
kenichi yamamoto ,0,0,0,2,2
kennedy nzechukwu,0,3,0,1,4
kennedy nzechukwu ,0,2,0,6,8
kenny florian,0,4,0,0,4
kenny florian ,0,1,0,12,13
kenny robertson,0,4,0,1,5
kenny robertson ,0,1,0,3,4
kerry schall,0,1,0,0,1
ketlen souza,0,1,0,2,3
ketlen vieira,0,0,0,5,5
ketlen vieira ,0,4,0,3,7
kevin aguilar,0,2,0,2,4
kevin aguilar ,0,2,0,0,2
kevin borjas,0,2,0,0,2
kevin burns,0,3,0,0,3
kevin burns ,0,0,0,2,2
kevin casey,0,3,1,0,4
kevin casey ,1,0,1,1,3
kevin croom,0,3,1,0,4
kevin ferguson ,0,1,0,1,2
kevin holland,0,7,0,3,10
kevin holland ,0,2,1,10,13
kevin jackson,0,2,0,0,2
kevin jackson ,0,0,0,2,2
kevin jordan,0,2,0,0,2
kevin jousset,0,0,0,1,1
kevin jousset ,0,1,0,1,2
kevin lee,0,4,0,8,12
kevin lee ,0,4,0,3,7
kevin natividad,0,3,0,0,3
kevin randleman,0,3,0,0,3
kevin randleman ,0,0,0,4,4
kevin rosier,0,1,0,0,1
khabib nurmagomedov,0,0,0,5,5
khabib nurmagomedov ,0,0,0,8,8
khadis ibragimov,0,2,0,0,2
khadis ibragimov ,0,2,0,0,2
khalid murtazaliev ,0,0,0,1,1
khalid taha,0,1,0,1,2
khalid taha ,0,3,1,0,4
khalil rountree jr.,0,3,0,6,9
khalil rountree jr. ,0,3,1,3,7
khama worthy,0,2,0,2,4
khama worthy ,0,1,0,0,1
khamzat chimaev,0,0,0,3,3
khamzat chimaev ,0,0,0,3,3
khaos williams,0,2,0,3,5
khaos williams ,0,0,0,3,3
khusein askhabov,0,1,0,0,1
kiefer crosbie,0,2,0,0,2
kiichi kunimoto,0,1,0,1,2
kiichi kunimoto ,0,1,0,2,3
kimo leopoldo,0,3,0,0,3
kimo leopoldo ,0,0,0,2,2
king green ,0,1,0,0,1
kiru sahota ,0,1,0,0,1
kit cope,0,1,0,0,1
kj noons,0,2,0,2,4
kj noons ,0,1,1,0,2
klaudia sygula,0,1,0,0,1
kleydson rodrigues,0,2,0,1,3
kleydson rodrigues ,0,1,0,0,1
klidson abreu,0,2,1,1,4
koji kitao,0,1,0,0,1
koji oishi,0,2,0,0,2
konstantin erokhin,0,2,0,0,2
kris mccray,0,2,0,0,2
kris mccray ,0,1,0,0,1
kris moutinho,0,1,0,0,1
kris moutinho ,0,1,0,0,1
kristian rothaermel,0,1,0,0,1
kristof midoux,0,1,0,0,1
kron gracie,0,2,0,1,3
kron gracie ,0,1,0,0,1
krzysztof jotko,0,2,0,9,11
krzysztof jotko ,0,4,0,2,6
krzysztof soszynski,0,1,0,1,2
krzysztof soszynski ,0,2,0,5,7
kuniyoshi hironaka,0,3,0,0,3
kuniyoshi hironaka ,0,0,0,1,1
kurt holobaugh,0,3,0,0,3
kurt holobaugh ,0,2,0,2,4
kurt pellegrino,0,4,0,0,4
kurt pellegrino ,0,1,0,7,8
kwan ho kwak,0,1,0,0,1
kwan ho kwak ,0,1,0,0,1
kyle bochniak,0,3,0,1,4
kyle bochniak ,0,2,0,1,3
kyle bradley,0,3,0,0,3
kyle bradley ,0,0,0,1,1
kyle daukaus,0,4,1,0,5
kyle daukaus ,0,0,0,2,2
kyle kingsbury,0,2,0,2,4
kyle kingsbury ,0,3,0,2,5
kyle nelson,1,4,0,3,8
kyle nelson ,0,1,0,1,2
kyle noke,0,2,0,2,4
kyle noke ,0,4,0,4,8
kyle prepolec,0,1,0,0,1
kyle prepolec ,0,1,0,0,1
kyle stewart,0,1,0,0,1
kyle stewart ,0,1,0,0,1
kyle watson,0,1,0,1,2
kyler phillips,0,1,0,3,4
kyler phillips ,0,1,0,3,4
kyoji horiguchi,0,1,0,1,2
kyoji horiguchi ,0,0,0,6,6
kyung ho kang,0,4,1,2,7
kyung ho kang ,0,1,0,6,7
lance benoist,0,2,0,2,4
lance gibson,0,1,0,0,1
lance gibson ,0,0,0,1,1
lando vannata,1,2,0,1,4
lando vannata ,1,5,0,3,9
